;;;;;;;;;;;;;;;;;
II.1.4 - População estrangeira com estatuto de residente segundo as principais nacionalidades por município, 2022;;;;;;;;;;;;;;;;;
II.1.4 - Foreign population with resident status according to main nationalities by municipality, 2022;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;Unit: No.;;;Desagregação Territorial;;;
;Total;Brasil ;Ucrânia;Cabo Verde;Roménia;Angola;Guiné Bissau;Reino Unido;Moldávia;China;São Tomé e Príncipe;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Seixal;  15 066;  5 684;   195;  2 296;   230;  1 391;   468;   178;   61;   251;  1 436;;1701510;;;;x
Sesimbra;  3 620;  1 561;   100;   121;   139;   145;   17;   125;   84;   88;   22;;1701511;;;;x
Setúbal;  10 975;  5 327;   322;   499;   722;   685;   85;   229;   150;   349;   45;;1701512;;;;x
Sintra;  47 607;  13 687;  1 382;  8 011;  1 660;  5 226;  6 187;   611;   377;   846;  1 414;;1701111;;;;x
Vila Franca de Xira;  10 065;  4 440;   397;   762;   523;   825;   571;   64;   116;   258;   254;;1701114;;;;x
  Alentejo;  44 357;  10 083;  2 224;   718;  3 197;   723;   389;  1 434;   539;  1 592;   108;;18;;x;;
   Alentejo Litoral;  16 394;  1 768;   507;   221;   635;   71;   20;   439;   134;   151;   5;;181;;;x;
Alcácer do Sal;   489;   94;   15;   9;   125;   5;0;   25;   11;   17;0;;1811501;;;;x
Grândola;   935;   390;   19;   10;   93;   7;   2;   30;   2;   26;0;;1811505;;;;x
Odemira;  12 287;   345;   366;   9;   133;   10;   5;   335;   91;   34;   1;;1810211;;;;x
Santiago do Cacém;  1 436;   372;   55;   32;   193;   26;   1;   39;   13;   36;   3;;1811509;;;;x
Sines;  1 247;   567;   52;   161;   91;   23;   12;   10;   17;   38;   1;;1811513;;;;x
   Baixo Alentejo;  5 526;   930;   277;   117;   533;   71;   175;   384;   81;   223;   14;;184;;;x;
Aljustrel;   217;   52;   26;   3;   9;   2;   3;   11;   4;   11;0;;1840201;;;;x
Almodôvar;   271;   70;   18;   3;   6;   5;   1;   18;   3;   8;   1;;1840202;;;;x
Alvito;   82;   13;   10;   16;   2;   4;0;   7;0;0;0;;1840203;;;;x
Barrancos;   23;   4;0;0;   6;0;   1;0;0;   2;0;;1840204;;;;x
Beja;  2 080;   472;   114;   65;   132;   41;   146;   14;   38;   108;   7;;1840205;;;;x
Castro Verde;   242;   45;   15;   2;   12;   4;0;   19;   5;   15;0;;1840206;;;;x
Cuba;   381;   23;   16;   9;   62;   4;   3;   2;   4;   4;   2;;1840207;;;;x
